gene ID,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,Orth_group
AT1G80240,4.66E-54,1.022662907,0.985,0.417,1.05E-49,10,AT1G80240,ORTHO905GF038410
AT5G62180,8.60E-54,0.818234342,0.977,0.522,1.94E-49,10,CXE20,ORTHO905GF002337
AT5G48000,1.16E-53,0.834651216,0.702,0.18,2.62E-49,10,CYP708A2,ORTHO905GF019935
AT4G31600,1.52E-53,0.785918874,0.977,0.482,3.43E-49,10,UTR7,ORTHO905GF009757
AT4G24275,1.80E-53,0.831598377,1,0.616,4.07E-49,10,AT4G24275,ORTHO905GF038267
AT1G06135,1.86E-53,0.692351163,0.519,0.099,4.20E-49,10,AT1G06135,ORTHO905GF019986
AT1G66400,1.95E-53,0.94821144,0.992,0.592,4.40E-49,10,CML23,ORTHO905GF001182
AT5G11860,2.81E-53,0.694179942,0.977,0.565,6.32E-49,10,SSP5,ORTHO905GF009695
AT2G35930,3.44E-53,0.853486046,0.985,0.423,7.76E-49,10,PUB23,ORTHO905GF000737
AT1G47970,4.19E-53,0.566039687,0.992,0.871,9.45E-49,10,AT1G47970,ORTHO905GF021860
AT1G33280,5.20E-53,0.911590797,0.863,0.259,1.17E-48,10,BRN1,ORTHO905GF009674
AT1G50720,1.17E-52,0.780288043,0.656,0.156,2.64E-48,10,AT1G50720,ORTHO905GF015173
AT1G14900,1.18E-52,0.654571599,0.992,0.793,2.66E-48,10,HMGA,ORTHO905GF001853
AT4G21902,1.28E-52,0.605573116,0.603,0.126,2.88E-48,10,AT4G21902,ORTHO905GF025658
AT1G02810,1.28E-52,0.885249798,0.992,0.511,2.89E-48,10,PME7,ORTHO905GF001843
AT3G29250,1.61E-52,1.081893201,0.924,0.354,3.62E-48,10,SDR4,ORTHO905GF002717
AT3G03640,1.72E-52,0.726525495,0.908,0.359,3.87E-48,10,BGLU25,ORTHO905GF012200
AT5G04970,2.13E-52,0.848211624,0.878,0.253,4.79E-48,10,PME47,ORTHO905GF015071
AT1G12600,2.79E-52,0.627074325,0.771,0.195,6.29E-48,10,UTR4,ORTHO905GF006976
AT3G13435,3.96E-52,0.885982743,0.939,0.341,8.93E-48,10,AT3G13435,ORTHO905GF036198
AT1G07270,4.95E-52,0.260281284,0.252,0.024,1.12E-47,10,CDC6B,ORTHO905GF006875
AT3G16450,5.93E-52,0.964720637,0.916,0.318,1.34E-47,10,JAL33,ORTHO905GF001006
AT3G13432,7.80E-52,0.596117262,0.664,0.156,1.76E-47,10,AT3G13432,ORTHO905GF038418
AT3G20940,1.57E-51,0.835715226,0.992,0.448,3.54E-47,10,CYP705A30,ORTHO905GF002347
AT2G43535,1.62E-51,0.919570643,1,0.591,3.64E-47,10,ATTI4,ORTHO905GF016371
AT1G36060,1.85E-51,0.958626007,0.985,0.39,4.17E-47,10,ERF055,ORTHO905GF000931
AT3G07320,1.96E-51,0.704000029,0.924,0.368,4.41E-47,10,AT3G07320,ORTHO905GF002738
AT3G55760,2.51E-51,0.584282801,0.771,0.224,5.67E-47,10,AT3G55760,ORTHO905GF012998
AT1G79640,2.97E-51,0.431334526,0.595,0.129,6.70E-47,10,AT1G79640,ORTHO905GF006183
AT4G27860,3.51E-51,0.691499537,0.931,0.312,7.91E-47,10,AT4G27860,ORTHO905GF001940
AT4G24340,3.93E-51,0.96533044,0.885,0.32,8.86E-47,10,AT4G24340,ORTHO905GF006121
AT5G41810,4.82E-51,0.76879457,0.908,0.317,1.09E-46,10,AT5G41810,ORTHO905GF006404
AT4G25250,5.46E-51,0.563555508,0.634,0.145,1.23E-46,10,PMEI4,ORTHO905GF022046
AT1G14210,9.75E-51,0.69246923,1,0.723,2.20E-46,10,AT1G14210,ORTHO905GF002339
AT2G44490,1.32E-50,0.884789906,0.924,0.34,2.99E-46,10,BGLU26,ORTHO905GF012200
AT5G15130,1.33E-50,0.638260031,0.771,0.212,3.00E-46,10,WRKY72,ORTHO905GF002059
AT4G14770,1.60E-50,0.454889515,0.58,0.127,3.61E-46,10,TCX2,ORTHO905GF002020
AT5G57420,1.63E-50,0.489168786,0.42,0.067,3.68E-46,10,IAA33,ORTHO905GF009517
AT2G17070,2.10E-50,0.879711035,0.931,0.333,4.74E-46,10,AT2G17070,ORTHO905GF000266
AT3G55740,2.19E-50,0.662910459,0.847,0.272,4.93E-46,10,PROT2,ORTHO905GF003091
AT2G45450,2.28E-50,0.679630372,0.878,0.298,5.15E-46,10,ZPR1,ORTHO905GF001460
AT2G27430,2.41E-50,0.621266805,0.725,0.202,5.43E-46,10,AT2G27430,ORTHO905GF010834
AT2G14820,2.88E-50,0.77139635,0.908,0.386,6.49E-46,10,NPY2,ORTHO905GF001199
AT1G68560,3.29E-50,0.808819592,0.924,0.425,7.41E-46,10,XYL1,ORTHO905GF005422
AT3G52115,4.58E-50,0.444286391,0.412,0.068,1.03E-45,10,GR1,ORTHO905GF010802
AT1G48610,4.68E-50,0.656012189,0.931,0.475,1.05E-45,10,AT1G48610,ORTHO905GF036537
AT5G18310,4.74E-50,0.783161865,1,0.6,1.07E-45,10,AT5G18310,ORTHO905GF008730
AT3G01516,8.13E-50,0.726163303,0.954,0.41,1.83E-45,10,AT3G01516,ORTHO905GF011149
AT1G64940,8.73E-50,0.63948562,0.771,0.242,1.97E-45,10,CYP89A6,ORTHO905GF000095
AT3G14740,1.01E-49,0.921962124,0.504,0.108,2.28E-45,10,AT3G14740,ORTHO905GF008915
AT2G39350,1.96E-49,0.856564496,0.817,0.248,4.42E-45,10,ABCG1,ORTHO905GF000708
AT5G01040,2.22E-49,0.7353975,0.992,0.68,5.01E-45,10,LAC8,ORTHO905GF025655
AT1G04680,2.38E-49,0.832358312,0.985,0.519,5.37E-45,10,AT1G04680,ORTHO905GF000387
AT3G16430,2.53E-49,0.91410283,0.939,0.332,5.70E-45,10,PBP2,ORTHO905GF001006
